Which of the below options is a best practice for making your application on AWS highly available?,Deploy the application to at least two Availability Zones.,Use Elastic Load Balancing (ELB) across multiple AWS Regions.,Deploy the application code on at least two servers in the same Availability Zone.,Rewrite the application code to handle all incoming requests.,,A
Which of the following should be taken into account when performing a TCO analysis regarding the costs of running an application on AWS VS on-premises? (Choose TWO),Labor and IT costs.,Cooling and power consumption.,Amazon EBS computing power.,Software architecture.,Software compatibility.,A B
Your company requires a response time of less than 15 minutes from support interactions about their business-critical systems that are hosted on AWS if those systems go down. Which AWS Support Plan should this company use?,AWS Basic Support.,AWS Developer Support.,AWS Business Support.,AWS Enterprise Support.,,D
Which of the following AWS offerings are serverless services? (Choose TWO),Amazon EC2.,AWS Lambda.,Amazon DynamoDB.,Amazon EMR.,Amazon RDS.,B C
Which AWS service enables you to quickly purchase and deploy SSL/TLS certificates?,Amazon GuardDuty.,AWS ACM.,Amazon Detective.,AWS WAF.,,B
Which AWS Service provides integration with Chef to automate the configuration of EC2 instances?,AWS Config.,AWS OpsWorks.,AutoScaling.,AWS CloudFormation.,,B
A customer is seeking to store objects in their AWS environment and to make those objects downloadable over the internet. Which AWS Service can be used to accomplish this?,Amazon EBS.,Amazon EFS.,Amazon S3.,Amazon Instance Store.,,C
Which of the following services can be used to monitor the HTTP and HTTPS requests that are forwarded to Amazon CloudFront?,AWS WAF.,Amazon CloudWatch.,AWS Cloud9.,AWS CloudTrail.,,B
A company is migrating a web application to AWS. The application’s compute capacity is continually utilized throughout the year. Which of the below options offers the company the most cost-effective solution?,On-demand Instances.,Dedicated Hosts.,Spot Instances.,Reserved Instances.,,D
A company wants to grant a new employee long-term access to manage Amazon DynamoDB databases. Which of the following is a recommended best-practice when granting these permissions?,Create an IAM role and attach a policy with Amazon DynamoDB access permissions.,Create an IAM role and attach a policy with Administrator access permissions.,Create an IAM user and attach a policy with Amazon DynamoDB access permissions.,Create an IAM user and attach a policy with Administrator access permissions.,,C
When granting permissions to applications running on Amazon EC2 instances which of the following is considered best practice?,Generate new IAM access keys every time you delegate permissions.,Store the required AWS credentials directly within the application code.,Use temporary security credentials (IAM roles) instead of long-term access keys.,Do nothing; Applications that run on Amazon EC2 instances do not need permission to interact with other AWS services or resources.,,C
Which of the following will help AWS customers save on costs when migrating their workloads to AWS?,Use servers instead of managed services.,Use existing third-party software licenses on AWS.,Migrate production workloads to AWS edge locations instead of AWS Regions.,Use AWS Outposts to run all workloads in a cost-optimized environment.,,B
An organization has a legacy application designed using monolithic-based architecture. Which AWS Service can be used to decouple the components of the application?,Amazon SQS.,Virtual Private Gateway.,AWS Artifact.,Amazon CloudFront.,,A
Which of the following can be used to enable the Virtual Multi-Factor Authentication? (Choose TWO),Amazon Connect.,AWS CLI.,AWS Identity and Access Management (IAM).,Amazon SNS.,Amazon Virtual Private Cloud.,B C
According to best practices which of the below options is best suited for processing a large number of binary files?,Vertically scaling EC2 instances.,Running RDS instances in parallel.,Vertically scaling RDS instances.,Running EC2 instances in parallel.,,D
A company is planning to use Amazon S3 and Amazon CloudFront to distribute its video courses globally. What tool can the company use to estimate the costs of these services?,AWS Cost Explorer.,AWS Pricing Calculator.,AWS Budgets.,AWS Cost & Usage Report.,,B
What should you do if you see resources which you don’t remember creating in the AWS Management Console? (Choose TWO),Stop all running services and open an investigation.,Give your root account password to AWS Support so that they can assist in troubleshooting and securing the account.,Check the AWS CloudTrail logs and delete all IAM users that have access to your resources.,Open an investigation and delete any potentially compromised IAM users.,Change your AWS root account password and the passwords of any IAM users.,D E
A key practice when designing solutions on AWS is to minimize dependencies between components so that the failure of a single component does not impact other components. What is this practice called?,Elastic coupling.,Loosely coupling.,Scalable coupling.,Tightly coupling.,,B
Which AWS Service offers an NFS file system that can be mounted concurrently from multiple EC2 instances?,Amazon Elastic File System.,Amazon Simple Storage Service.,Amazon Elastic Block Store.,AWS Storage Gateway.,,A
Availability Zones within a Region are connected over low-latency links. Which of the following is a benefit of these links?,Create private connection to your data center.,Achieve global high availability.,Automate the process of provisioning new compute resources.,Make synchronous replication of your data possible.,,D
Which of the following are true regarding the languages that are supported on AWS Lambda? (Choose TWO),Lambda only supports Python and Node.js but third party plugins are available to convert code in other languages to these formats.,Lambda natively supports a number of programming languages such as Node.js Python and Java.,Lambda is AWS’ proprietary programming language for microservices.,Lambda doesn’t support programming languages; it is a serverless compute service.,Lambda can support any programming language using an API.,B E
What are the capabilities of AWS X-Ray? (Choose TWO),Automatically decouples application components.,Facilitates tracking of user requests to identify application issues.,Helps improve application performance.,Deploys applications to Amazon EC2 instances.,Deploys applications to on-premises servers.,B C
Which of the following is true regarding the AWS availability zones and edge locations?,Edge locations are located in separate Availability Zones worldwide to serve global customers.,An availability zone exists within an edge location to distribute content globally with low latency.,An Availability Zone is a geographic location where AWS provides multiple physically separated and isolated edge locations.,An AWS Availability Zone is an isolated location within an AWS Region however edge locations are located in multiple cities worldwide.,,D
Which features are included in the AWS Business Support Plan? (Choose TWO),24x7 access to customer service.,Access to Cloud Support Engineers via email only during business hours.,Access to the Infrastructure Event Management (IEM) feature for additional fee.,24x7 access to the TAM feature.,Partial access to the core Trusted Advisor checks.,A C
A company is developing a mobile application and wants to allow users to use their Amazon Apple Facebook or Google identities to authenticate to the application. Which AWS Service should the company use for this purpose?,Amazon GuardDuty.,Amazon Personalize.,Amazon Cognito.,AWS IAM.,,C
Which AWS Service allows customers to create a template that programmatically defines policies and configurations of all AWS resources as code and so that the same template can be reused among multiple projects?,AWS CloudFormation.,AWS Config.,AWS CloudTrail.,AWS Auto Scaling.,,A
Which of the following are advantages of using AWS as a cloud computing provider? (Choose TWO),Eliminates the need to monitor servers and applications.,Manages all the compliance and auditing tasks.,Provides custom hardware to meet any specification.,Eliminates the need to guess on infrastructure capacity needs.,Enables customers to trade their capital expenses for operational expenses.,D E
A customer is planning to migrate their Microsoft SQL Server databases to AWS. Which AWS Services can the customer use to run their Microsoft SQL Server database on AWS? (Choose TWO),AWS Fargate.,Amazon Elastic Compute Cloud.,Amazon RDS.,AWS Database Migration service (DMS).,AWS Lambda.,B C
Which AWS Service can perform health checks on Amazon EC2 instances?,AWS CloudFormation.,Amazon Route 53.,Amazon Chime.,Amazon Aurora.,,B
A company is developing an application that will leverage facial recognition to automate photo tagging. Which AWS Service should the company use for facial recognition?,Amazon Comprehend.,AWS IAM.,Amazon Polly.,Amazon Rekognition.,,D
Which of the following are examples of AWS-managed databases? (Choose TWO),Amazon Neptune.,Amazon CloudSearch.,Microsoft SQL Server on Amazon EC2.,MySQL on Amazon EC2.,Amazon RDS for MySQL.,A E
A company’s AWS workflow requires that it periodically perform large-scale image and video processing jobs. The customer is seeking to minimize cost and has stated that the amount of time it takes to process these jobs is not critical but that cost minimization is the most important factor in designing the solution. Which EC2 instance class is best suited for this processing?,EC2 On-Demand Instances.,EC2 Reserved Instances     - No Upfront.,EC2 Spot Instances.,EC2 Reserved Instances     - All Upfront.,,C
There is a requirement to grant a DevOps team full administrative access to all resources in an AWS account. Who can grant them these permissions?,AWS account owner.,AWS technical account manager.,AWS security team.,AWS cloud support engineers.,,A
You need to migrate a large number of on-premises workloads to AWS. Which AWS service is the most appropriate?,AWS File Transfer Acceleration.,AWS Server Migration Service.,AWS Database Migration Service.,AWS Application Discovery Service.,,B
What are some key benefits of using AWS CloudFormation? (Choose TWO),It helps AWS customers deploy their applications without worrying about the underlying infrastructure.,It applies advanced IAM security features automatically.,It automates the provisioning and updating of your infrastructure in a safe and controlled manner.,It allows you to model your entire infrastructure in just a text file.,It compiles and builds application code in a timely manner.,C D
Which of the following is a cloud computing deployment model that connects infrastructure and applications between cloud-based resources and existing resources not located in the cloud?,On-premises.,Mixed.,Hybrid.,Cloud.,,C
A company is hosting business critical workloads in an AWS Region. To protect against data loss and ensure business continuity a mirror image of the current AWS environment should be created in another AWS Region. Company policy requires that the standby environment must be available in minutes in case of an outage in the primary AWS Region. Which AWS service can be used to meet these requirements?,CloudEndure Disaster Recovery.,CloudEndure Migration.,AWS Backup.,AWS Glue.,,A
Which of the following S3 storage classes is most appropriate to host static assets for a popular e-commerce website with stable access patterns?,S3 Standard-IA.,S3 Intelligent-Tiering.,S3 Glacier Deep Archive.,S3 Standard.,,D
You want to create a backup of your data in another geographical location. Where should you create this backup?,In another Edge location.,In another Region.,In another VPC.,In another Availability Zone.,,B
Which statement is true in relation to the security of Amazon EC2?,You should use instance store volumes to store login data.,You should regularly patch the operating system and applications on your EC2 instances.,You should deploy critical components of your application in the Availability Zone that you trust.,You can track all API calls using Amazon Athena.,,B
What does AWS Cost Explorer provide to help manage your AWS spend?,Cost comparisons between AWS Cloud environments and on-premises environments.,Accurate estimates of AWS service costs based on your expected usage.,Consolidated billing.,Highly accurate cost forecasts for up to 12 months ahead.,,D
Which of the following is a feature of Amazon RDS that performs automatic failover when the primary database fails to respond?,RDS Single-AZ.,RDS Write Replica.,RDS Snapshots.,RDS Multi-AZ.,,D
You are using several on-demand EC2 Instances to run your development environment. What is the best way to reduce your charges when these instances are not in use?,Deleting all EBS volumes attached to the instances.,You cannot minimize charges for on-demand instances.,Terminating the instances.,Stopping the instances.,,D
Which of the following strategies helps protect your AWS root account?,Delete root user access keys if you do not need them.,Apply MFA for the root account and use it for all of your work.,Access the root account only from your personal Mobile Phone.,Only share your AWS account password or access keys with trusted persons.,,A
Which of the following are factors should be considered for Amazon EBS pricing? (Choose TWO),The size of volumes provisioned per month.,The compute capacity you consume.,The amount of data you have stored in snapshots.,The compute time you consume.,The number of Snowball storage devices you request.,A C
You have just set up your AWS environment and have created six IAM user accounts for the DevOps team. What is the AWS recommendation when granting permissions to these IAM accounts?,Attach a separate IAM policy for each individual account.,Apply the Principle of Least Privilege.,For security purposes you should not grant any permission to the DevOps team.,Create six different IAM passwords.,,B
Which of the following has the greatest impact on cost? (Choose TWO),Compute charges.,The number of services used.,Data Transfer In charges.,Data Transfer Out charges.,The number of IAM roles provisioned.,A D
Who from the following will get the largest discount?,A user who chooses to buy On-demand Convertible Partial upfront instances.,A user who chooses to buy Reserved Convertible All upfront instances.,A user who chooses to buy Reserved Standard No upfront instances.,A user who chooses to buy Reserved Standard All upfront instances.,,D
Which of the following is an available option when purchasing Amazon EC2 instances?,The ability to bid to get the lowest possible prices.,The ability to register EC2 instances to get volume discounts on every hour the instances are running.,The ability to buy Dedicated Instances for up to 90% discount.,The ability to pay upfront to get lower hourly costs.,,D
What does the term “Economies of scale� mean?,It means that you save more when you consume more.,It means as more time passes using AWS you pay more for its services.,It means that AWS will continuously lower costs as it grows.,It means that you have the ability to pay as you go.,,C
A company experiences fluctuations in traffic patterns to their e-commerce website when running flash sales. What service can help the company dynamically match the required compute capacity to handle spikes in traffic during flash sales?,AWS Auto Scaling.,Amazon Elastic Compute Cloud.,Amazon Elastic File System.,Amazon ElastiCache.,,A
Which of the below options is true of Amazon VPC?,Amazon VPC allows customers to control user interactions with all other AWS resources.,AWS Customers have complete control over their Amazon VPC virtual networking environment.,AWS is responsible for all the management and configuration details of Amazon VPC.,Amazon VPC helps customers to review their AWS architecture and adopt best practices.,,B
Which tool can a non-AWS customer use to compare the cost of on-premises environment resources to AWS?,AWS Cost Explorer.,AWS Pricing Calculator.,AWS Budgets.,AWS TCO Calculator.,,D
Which of the following services provide real-time auditing for compliance and vulnerabilities? (Choose TWO),AWS Config.,Amazon Redshift.,Amazon MQ.,AWS Trusted Advisor.,Amazon Cognito.,A D
Which of the following AWS services uses Puppet to automate how EC2 instances are configured?,AWS OpsWorks.,AWS CloudFormation.,AWS Quick Starts.,AWS CloudTrail.,,A
An organization uses a hybrid cloud architecture to run their business. Which AWS service enables them to deploy their applications to any AWS or on-premises server?,Amazon Kinesis.,Amazon QuickSight.,AWS CodeDeploy.,Amazon Athena.,,C
Select the services that are server-based: (Choose TWO),Amazon RDS.,Amazon DynamoDB.,AWS Lambda.,AWS Fargate.,Amazon EMR.,A E
What best describes penetration testing?,Testing your application’s response time from different locations.,Testing your network to find security vulnerabilities that an attacker could exploit.,Testing your instances to check for the unhealthy ones.,Testing your software for bugs and errors.,,B
Which of the following are use cases for Amazon EMR? (Choose TWO),Enables you to backup extremely large amounts of data at very low costs.,Enables you to move Exabyte-scale data from on-premises datacenters into AWS.,Enables you to analyze and process extremely large amounts of data in a timely manner.,Enables you to easily run and scale Apache Spark Hadoopand other Big Data frameworks.,Enables you to easily run and manage Docker containers.,C D
Your CTO has asked you to contact AWS support using the chat feature to ask for guidance related to EBS. However when you open the AWS support center you can't see a way to contact support via Chat. What should you do?,There is no chat feature in AWS support.,The chat feature is available for all plans for an additional fee but you have to request it first.,At a minimum upgrade to Business support plan.,Upgrade from the Basic Support plan to Developer Support.,,C
A developer wants to quickly deploy and manage his application in the AWS Cloud but he doesn’t have any experience with cloud computing. Which of the following AWS services would help the developer achieve his goal?,AWS Fargate.,AWS Batch.,Amazon Personalize.,AWS Elastic Beanstalk.,,D
Which statement best describes the AWS Pay-As-You-Go pricing model?,With AWS you replace low upfront expenses with large variable payments.,With AWS you replace low upfront expenses with large fixed payments.,With AWS you replace large upfront expenses with low fixed payments.,With AWS you replace large capital expenses with low variable payments.,,D
For Amazon RDS databases what does AWS perform on your behalf? (Choose TWO),Database setup.,Network traffic protection.,Management of the operating system.,Access management.,Management of firewall rules.,A C
Which of the following strategies help analyze costs in AWS?,Using tags to group resources.,Using AWS CloudFormation to automate the deployment of resources.,Deploying resources of the same type in different regions.,Configuring Amazon Inspector to automatically analyze costs and email reports.,,A
A media company has an application that requires the transfer of large data sets to and from AWS every day. This data is business critical and should be transferred over a consistent connection. Which AWS service should the company use?,AWS Direct Connect.,Amazon Comprehend.,AWS Snowmobile.,AWS VPN.,,A
What is the main benefit of the AWS Storage Gateway service?,It automates the process of building maintaining and running ETL jobs.,It provides physical devices to migrate data from on premises to AWS.,It allows integration of on-premises IT environments with Cloud Storage.,It provides hardware-based key storage for regulatory compliance.,,C
To protect against data loss you need to backup your database regularly. What is the most cost-effective storage option that provides immediate retrieval of your backups?,Amazon S3 Glacier Deep Archive.,Amazon S3 Standard-Infrequent Access.,Amazon S3 Glacier.,Instance Store.,,B
Which service can you use to route traffic to the endpoint that provides the best application performance for your users worldwide?,AWS Global Accelerator.,AWS Data Pipeline.,AWS DAX Accelerator.,AWS Transfer Acceleration.,,A
Why are Serverless Architectures more economical than Server-based Architectures?,Serverless Architectures use new powerful computing devices.,With the Server-based Architectures compute resources continue to run all the time but with serverless architecture compute resources are only used when code is being executed.,When you reserve serverless capacity you will get large discounts compared to server reservation.,With Serverless Architectures you have the ability to scale automatically up or down as demand changes.,,B
Which of the below options are use cases of the Amazon Route 53 service? (Choose TWO),Point-to-point connectivity between an on-premises data center and AWS.,Detects configuration changes in the AWS environment.,DNS configuration and management.,Manages global application traffic through a variety of routing types.,Provides infrastructure security optimization recommendations.,C D
You want to transfer 200 Terabytes of data from on-premises locations to the AWS Cloud which of the following can do the job in a cost-effective way?,AWS Snowmobile.,AWS Import/Export.,AWS DMS.,AWS Snowball.,,D
You have a real-time IoT application that requires sub-millisecond latency. Which of the following services should you use?,Amazon Redshift.,Amazon Athena.,AWS Cloud9.,Amazon ElastiCache for Redis.,,D
Which of the following can help secure your sensitive data in Amazon S3? (Choose TWO),Delete the encryption keys once your data is encrypted.,With AWS you do not need to worry about encryption.,Enable S3 Encryption.,Encrypt the data prior to uploading it.,Delete all IAM users that have access to S3.,C D
Which AWS service helps developers compile and test their code?,AWS CodeDeploy.,AWS CodeCommit.,CloudEndure.,AWS CodeBuild.,,D
Which of the following will affect how much you are charged for storing objects in S3? (Choose TWO),Using default encryption for any number of S3 buckets.,The number of EBS volumes attached to your instances.,The storage class used for the objects stored.,Creating and deleting S3 buckets.,The total size in gigabytes of all objects stored.,C E
What does the Amazon CloudFront service provide? (Choose TWO),Tracks user activity and APl usage.,Increases application availability by caching at the edge.,Enables faster disaster recovery.,Stores archived data at very low costs.,Delivers content to end users with low latency.,B E
You are facing a lot of problems with your current contact center. Which service provides a cloud-based contact center that can deliver a better service for your customers?,Amazon Lightsail.,Amazon Connect.,AWS Direct Connect.,AWS Elastic Beanstalk.,,B
You have migrated your application to AWS recently. How can you view the AWS costs applied to your account?,Using the AWS Cost & Usage Report.,Using the AWS Total Cost of Ownership (TCO) dashboard.,Using the AWS CloudWatch logs dashboard.,Using the Amazon VPC dashboard.,,A
Which of the following are valid Amazon EC2 Reserved Instance types? (Choose TWO),Convertible.,Expedited.,Bulk.,Spot.,Standard.,A E
Which of the following services gives you access to all AWS auditor-issued reports and certifications?,AWS Artifact.,AWS Config.,Amazon CloudWatch.,AWS CloudTrail.,,A
You manage a blog on AWS that has different environments: development testing and production. What can you use to create a custom console for each environment to view and manage your resources easily?,AWS Resource Groups.,AWS Placement Groups.,AWS Management Console.,AWS Tag Editor.,,A
Which AWS service collects metrics from running EC2 instances?,Amazon Inspector.,Amazon CloudWatch.,AWS CloudFormation.,AWS CloudTrail.,,B
Your web application currently faces performance issues and suffers from long load times. Which of the following AWS services could help fix these issues and improve performance?,Amazon Detective.,AWS X-Ray.,AWS Security Hub.,AWS Shield.,,B
Which of the following compute resources are serverless? (Choose TWO),Amazon EC2.,AWS Fargate.,AWS Lambda.,Amazon ECS.,Amazon EMR.,B C
For compliance and regulatory purposes a government agency requires that their applications must run on hardware that is dedicated to them only. How can you meet this requirement?,Use EC2 Dedicated Hosts.,Use EC2 Reserved Instances.,Use EC2 Spot Instances.,Use EC2 On-demand Instances.,,A
Which AWS Cost Governance best practice recommends refining workloads regularly to make the most of existing AWS resources and reduce costs?,Tagging Enforcement.,Architecture Optimization.,Budgeting Processes.,Resource Controls.,,B
An organization needs to build a financial application that requires support for ACID transactions. Which AWS database service is most appropriate in this case?,RedShift.,RDS.,CloudHSM.,DMS.,,B
What can you use to assign permissions directly to an IAM user?,IAM Identity.,IAM Group.,IAM Role.,IAM Policy.,,D
The owner of an E-Commerce application notices that the compute capacity requirements vary heavily from time to time. What makes AWS more economical than traditional data centers for this type of application?,AWS allows customers to launch powerful EC2 instances to handle spikes in load.,AWS allows customers to pay upfront to get bigger discounts.,AWS allows customers to launch and terminate EC2 instances based on demand.,AWS allows customers to choose cheaper types of EC2 instances that best fit their needs.,,C
Amazon RDS supports multiple database engines to choose from. Which of the following is not one of them?,PostgreSQL.,Oracle.,Microsoft SQL Server.,Teradata.,,D
Which of the following AWS services would help you migrate on-premise databases to AWS?,AWS DMS.,Amazon S3 Transfer Acceleration.,AWS Directory Service.,AWS Transit Gateway.,,A
For new AWS customers what is the EASIEST way to launch a simple WordPress website on AWS?,Run WordPress on an Amazon Lightsail instance.,Install WordPress on an Amazon EC2 instance.,Use the Amazon S3 Web hosting feature.,Host the website directly on AWS Cloud Development Kit (AWS CDK).,,A
Which of the following would you use to manage your encryption keys in the AWS Cloud? (Choose TWO),AWS KMS.,AWS Certificate Manager.,AWS CodeDeploy.,AWS CodeCommit.,CloudHSM.,A E
Which of the following services allows you to install and run custom relational database software?,Amazon EC2.,Amazon Cognito.,Amazon RDS.,Amazon Inspector.,,A
Your application requirements for CPU and RAM are changing in an unpredictable way. Which service can be used to dynamically adjust these resources based on load?,Auto Scaling.,ELB.,Amazon Route53.,Amazon Elastic Container Service.,,A
A company has infrastructure hosted in an on-premises data center. They currently have an operations team that takes care of identity management. If they decide to migrate to the AWS cloud which of the following services would help them perform the same role in AWS?,AWS IAM.,AWS Outposts.,AWS Federation.,Amazon Redshift.,,A
What are some key design principles for designing public cloud systems? (Choose TWO),Reserved capacity instead of on demand.,Loose coupling over tight coupling.,Servers instead of managed services.,Disposable resources instead of fixed servers.,Multi-AZ deployments instead of multi-region deployments.,B D
Where can AWS account owners get a list of all users in their account including the status of their AWS credentials?,AWS CloudTrail Trails.,IAM Credential Report.,AWS Artifact reports.,AWS Cost and Usage Report.,,B
Which of the following services enables you to easily generate and use your own encryption keys in the AWS Cloud?,AWS Shield.,AWS Certificate Manager.,AWS CloudHSM.,AWS WAF.,,C
You have developed a web application targeting a global audience. Which of the following will help you achieve the highest redundancy and fault tolerance from an infrastructure perspective?,There is no need to architect for these capabilities in AWS as AWS is redundant by default.,Deploy the application in a single Availability Zone.,Deploy the application in multiple Availability Zones in a single AWS region.,Deploy the application in multiple Availability Zones in multiple AWS regions.,,D
For some services AWS automatically replicates data across multiple Availability Zones to provide fault tolerance in the event of a server failure or Availability Zone outage. Select TWO services that automatically replicate data across Availability Zones.,Instance Store.,S3.,DynamoDB.,Amazon Route 53.,AWS VPN.,B C
Which of the following factors affect Amazon CloudFront cost? (Choose TWO),Number of Requests.,Traffic Distribution.,Number of Volumes.,Instance type.,Storage Class.,A B
Which of the following resources can an AWS customer use to learn more about prohibited uses of the services offered by AWS?,AWS Service Control Policies (SCPs).,AWS Artifact.,AWS Budgets.,AWS Acceptable Use Policy.,,D
Which of the following security resources are available to any user for free? (Choose TWO),AWS Bulletins.,AWS TAM.,AWS Support APl.,AWS Security Blog.,AWS Classroom Training.,A D
How can you protect data stored on Amazon S3 from accidental deletion?,By enabling S3 Versioning.,By configuring S3 Bucket Policies.,By configuring S3 Lifecycle Policies.,By disabling S3 Cross-Region Replication (CRR).,,A
Which of the following is the responsibility of AWS according to the AWS Shared Responsibility Model?,Securing regions and edge locations.,Performing auditing tasks.,Monitoring AWS resources usage.,Securing access to AWS resources.,,A
Which of the following AWS support plans provides access to only the seven core AWS Trusted Advisor checks?,Business & Enterprise Support.,Basic & Developer Support.,Developer & Enterprise Support.,Developer & Business Support.,,B
Which of the following is NOT a benefit of using AWS Lambda?,AWS Lambda runs code without provisioning or managing servers.,AWS Lambda provides resizable compute capacity in the cloud.,There is no charge when your AWS Lambda code is not running.,AWS Lambda can be called directly from any mobile app.,,D
How does AWS help customers achieve compliance in the cloud?,It's not possible to meet regulatory compliance requirements in the Cloud.,AWS applies the most common Cloud security standards and is responsible for complying with customers’ applicable laws and regulations.,AWS has many common assurance certifications such as ISO 9001 and HIPAA.,Many AWS services are assessed regularly to comply with local laws and regulations.,,C
Who is responsible for scaling a DynamoDB database in the AWS Shared Responsibility Model?,Your security team.,Your development team.,AWS.,Your internal DevOps team.,,C
You are working as a web app developer. You are currently facing issues in media playback for mobile devices because your media format is not supported. Which of the following AWS services can help you convert your media into another format?,Amazon Elastic Transcoder.,Amazon Pinpoint.,AmazonS3.,Amazon Rekognition.,,A
What are the benefits of the AWS Organizations service? (Choose TWO),Control access to AWS services.,Help organizations design and maintain an accelerated path to successful cloud adoption.,Manage your organization’s payment methods.,Help organization achieve their desired business outcomes with AWS.,Consolidate billing across multiple AWS accounts.,A E
Which AWS service allows you to build a data warehouse in the cloud?,AWS Shield.,Amazon Redshift.,Amazon RDS.,Amazon Comprehend.,,B
What AWS service allows you to buy third-party software solutions and services that run on AWS resources?,AWS Application Discovery service.,Amazon DevPay.,AWS Marketplace.,Resource Groups.,,C
Which of the following services is an AWS repository management system that allows for storing versioning and managing your application code?,AWS CodePipeline.,AWS CodeCommit.,AWS X-Ray.,Amazon Inspector.,,B
Which AWS service can be used to route end users to the nearest AWS Region to reduce latency?,Amazon Cognito.,AWS Systems Manager.,AWS Cloud9.,Amazon Route 53.,,D
Which feature enables users to sign into their AWS accounts with their existing corporate credentials?,Federation.,Access keys.,IAM Permissions.,WAF rules.,,A
According to the AWS shared responsibility model what are the controls that customers fully inherit from AWS? (Choose TWO),Awareness and Training.,Communications controls.,Data center security controls.,Environmental controls.,Resource Configuration Management.,C D
What can you access by visiting the URL: <http://status.aws.amazon.com>?,AWS Billing Dashboard.,AWS Cost Dashboard.,AWS Service Health Dashboard.,AWS Security Dashboard.,,C
Which of the following procedures can reduce latency when your end users are retrieving data? (Choose TWO),Store media assets in the region closest to your end users.,Store media assets on an additional EBS volume and increase the capacity of your server.,Replicate media assets to at least two availability zones.,Reduce the size of media assets using the Amazon Elastic Transcoder.,Store media assets in S3 and use CloudFront to distribute these assets.,A E
Which of the following are part of the seven design principles for security in the cloud? (Choose TWO),Use manual monitoring techniques to protect your AWS resources.,Use IAM roles to grant temporary access instead of long-term credentials.,Scale horizontally to protect from failures.,Enable real-time traceability.,Never store sensitive data in the cloud.,B D
A company is migrating production workloads to AWS and they are concerned about cost management across different departments. Which option should the company implement to categorize and track AWS spending?,Use the AWS Pricing Calculator service to monitor the costs incurred by each department.,Use Amazon Aurora to forecast AWS spending based on usage.,Apply cost allocation tags to segment AWS costs by different e projects and departments.,Configure AWS Price List API to receive billing updates for each department automatically.,,C
What is the main benefit of attaching security groups to an Amazon RDS instance?,Manages user access and encryption keys.,Controls what IP address ranges can connect to your database instance.,Deploys SSL/TLS certificates for use with your database instance.,Distributes incoming traffic across multiple targets.,,B
A company wants to use Amazon Elastic Container Service (Amazon ECS) to run its containerized applications. For compliance reasons the company wants to retain complete visibility and control over the underlying server cluster. Which Amazon ECS launch type will satisfy these requirements?,EC2 launch type.,Fargate launch type.,Lightsail launch type.,Lambda launch type.,,A
You have multiple standalone AWS accounts and you want to decrease your AWS monthly charges. What should you do?,Try to remove unnecessary AWS accounts.,Add the accounts to an AWS Organization and use Consolidated Billing.,Track the AWS charges that are incurred by the member accounts.,Enable AWS tiered-pricing before provisioning resources.,,B
You have been tasked with auditing the security of your VPC. As part of this process you need to start by analyzing what inbound and outbound traffic is allowed on your EC2 instances. What two parts of the VPC do you need to check to accomplish this task?,Network ACLs and Traffic Manager.,Network ACLs and Subnets.,Security Groups and Internet Gateways.,Security Groups and Network ACLs.,,D
What does the AWS ""Business"" support plan provide? (Choose TWO)",Access to the full set of Trusted Advisor checks.,Support Concierge Service.,Less than 15 minutes response-time support if your business critical system goes down.,AWS Support API.,Proactive Technical Account Management.,A D
You have just finished writing your application code. Which service can be used to automate the deployment and scaling of your application?,Amazon Simple Storage Service.,AWS Elastic Beanstalk.,AWS CodeCommit.,Amazon Elastic File System.,,B
Which statement is true in relation to security in AWS?,AWS manages everything related to EC2 operating systems.,AWS customers are responsible for patching any database software running on Amazon EC2.,Server side encryption is the responsibility of AWS.,AWS is responsible for the security of your application.,,B
Amazon EC2 instances are conceptually very similar to traditional servers. However using Amazon EC2 server instances in the same manner as traditional hardware server instances is only a starting point. What are the main benefits of using the AWS EC2 instances instead of traditional servers? (Choose TWO),Improves Fault-Tolerance.,Provides your business with a seamless remote accessibility.,Prevents unauthorized users from getting into your network.,Provides automatic data backups.,Can be scaled manually in a shorter period of time.,A E
Which statement is true regarding AWS pricing? (Choose TWO),With the AWS pay-as-you-go pricing model you don't have to pay any upfront fee.,You have no responsibility for third-party software license costs.,You only pay for the individual services that you need with no long-term contracts.,For some services you have to pay a startup fee in order to get the service running.,There are no reservations on AWS you only pay for what you use.,A C
Which AWS service provides the EASIEST way to set up and manage a secure well-architected multi-account AWS environment?,AWS Control Tower.,Amazon Macie.,AWS Systems Manager Patch Manager.,AWS Security Hub.,,A
A company is running a large web application that needs to always be available. The application tends to slow down when CPU usage is greater than 60%. How can they track when CPU usage goes above 60% for any of the EC2 Instances in their account?,Use CloudFront to monitor the CPU usage.,Set the AWS Config CPU threshold to 60% to receive a notification when EC2 usage exceeds that value.,Use CloudWatch Alarms to monitor the CPU and alert when the CPU usage is >= 60%.,Use SNS to monitor the utilization of the server.,,C
What is the recommended storage option when hosting an often-changing database on an Amazon EC2 instance?,Amazon EBS.,Amazon RDS.,You can't run a database inside an Amazon EC2 instance.,Amazon DynamoDB.,,A
You are working as a site reliability engineer (SRE) in an AWS environment which of the following services helps monitor your applications?,Amazon CloudWatch.,Amazon CloudSearch.,Amazon Elastic MapReduce.,Amazon CloudHSM.,,A
What factors determine how you are charged when using AWS Lambda? (Choose TWO),Storage consumed.,Number of requests to your functions.,Number of volumes.,Placement groups.,Compute time consumed.,B E
